Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption (City (L/100 km),Fuel Consumption(Hwy (L/100 km)),Fuel Consumption(Comb (L/100 km)),CO2 Emissions(g/km),CO2 Rating,Smog Rating,Region
Chevrolet,Equinox AWD,SUV: Small,1.5,4,A6,X,9.4,8.0,8.8,208,6,7,America
Chevrolet,Malibu,Mid-size,1.5,4,AV,X,8.2,6.6,7.5,175,7,7,America
Chevrolet,Malibu,Mid-size,2.0,4,A9,Z,10.7,7.1,9.1,213,5,5,America
Chevrolet,Silverado,Pickup truck: Standard,2.7,4,A8,X,12.5,10.6,11.6,274,4,6,America
Chevrolet,Silverado,Pickup truck: Standard,3.0,6,A10,D,10.2,7.5,8.9,240,5,3,America
Chevrolet,Silverado FFV,Pickup truck: Standard,5.3,8,A6,X,16.2,12.3,14.5,341,3,3,America
Chevrolet,Silverado FFV,Pickup truck: Standard,5.3,8,A6,E,21.5,16.0,19.1,321,3,3,America
Chevrolet,Silverado,Pickup truck: Standard,5.3,8,A8,X,15.1,11.3,13.4,314,3,6,America
Chevrolet,Silverado,Pickup truck: Standard,5.3,8,A10,X,14.4,11.3,13.0,304,3,6,America
Chevrolet,Silverado 4WD,Pickup truck: Standard,2.7,4,A8,X,13.9,12.0,13.1,306,3,6,America
Chevrolet,Silverado 4WD Mud Terrain Tire,Pickup truck: Standard,2.7,4,A8,X,14.7,13.1,14.0,328,3,6,America
Chevrolet,Silverado 4WD,Pickup truck: Standard,3.0,6,A10,D,10.9,9.1,10.1,272,4,3,America
Chevrolet,Silverado 4WD (With Sport Mode),Pickup truck: Standard,3.0,6,A10,D,10.5,9.1,9.9,265,4,3,America
Chevrolet,Silverado 4WD Mud Terrain Tire,Pickup truck: Standard,3.0,6,A10,D,11.8,10.3,11.2,298,4,3,America
Chevrolet,Silverado 4WD FFV,Pickup truck: Standard,5.3,8,A6,X,16.5,12.8,14.8,347,3,3,America
Chevrolet,Silverado 4WD FFV,Pickup truck: Standard,5.3,8,A6,E,22.0,16.4,19.5,326,3,3,America
Chevrolet,Silverado 4WD Mud Terrain Tire FFV,Pickup truck: Standard,5.3,8,A6,X,17.4,14.7,16.2,380,2,3,America
Chevrolet,Silverado 4WD Mud Terrain Tire FFV,Pickup truck: Standard,5.3,8,A6,E,23.1,19.6,21.5,358,2,3,America
Chevrolet,Silverado 4WD,Pickup truck: Standard,5.3,8,A8,X,15.6,11.9,13.9,327,3,6,America
Chevrolet,Silverado 4WD Mud Terrain Tire,Pickup truck: Standard,5.3,8,A8,X,16.9,13.3,15.3,359,2,6,America
Chevrolet,Silverado 4WD,Pickup truck: Standard,5.3,8,A10,X,14.7,11.8,13.4,314,3,6,America
Chevrolet,Silverado 4WD (No DFM),Pickup truck: Standard,5.3,8,A10,X,16.8,12.4,14.8,347,3,6,America
Chevrolet,Silverado 4WD (With Sport Mode),Pickup truck: Standard,5.3,8,A10,X,15.3,12.3,13.9,327,3,6,America
Chevrolet,Silverado 4WD (No Stop-Start),Pickup truck: Standard,5.3,8,A10,X,16.1,12.4,14.4,339,3,6,America
Chevrolet,Silverado 4WD Mud Terrain Tire,Pickup truck: Standard,5.3,8,A10,X,16.6,14.0,15.4,361,2,6,America
Chevrolet,Silverado 4WD Mud Terrain Tire (No Stop-Start),Pickup truck: Standard,5.3,8,A10,X,16.8,13.9,15.5,364,2,6,America
Chevrolet,Silverado 4WD Mud Terrain Tire (No DFM),Pickup truck: Standard,5.3,8,A10,X,18.1,13.8,16.2,381,2,6,America
Chevrolet,Silverado 4WD,Pickup truck: Standard,6.2,8,A10,Z,15.7,11.9,14.0,329,3,6,America
Chevrolet,Silverado 4WD (No Stop-Start),Pickup truck: Standard,6.2,8,A10,Z,16.6,12.3,14.7,345,3,6,America
Chevrolet,Silverado 4WD Custom Trail Boss,Pickup truck: Standard,6.2,8,A10,Z,16.5,13.2,15.0,352,3,6,America
Chevrolet,Silverado 4WD Mud Terrain Tire,Pickup truck: Standard,6.2,8,A10,Z,16.5,13.2,15.0,352,3,6,America
Chevrolet,Silverado 4WD Mud Terrain Tire (No Stop-Start),Pickup truck: Standard,6.2,8,A10,Z,18.2,14.2,16.4,385,2,6,America
Chevrolet,Silverado 4WD ZR2,Pickup truck: Standard,6.2,8,A10,Z,16.7,14.1,15.5,366,2,6,America
Chevrolet,Spark,Subcompact,1.4,4,AV,X,7.7,6.2,7.0,165,7,5,America
Chevrolet,Spark,Subcompact,1.4,4,M5,X,8.0,6.2,7.2,170,7,5,America
Chevrolet,Suburban,SUV: Standard,3.0,6,A10,D,11.2,8.7,10.1,272,4,3,America
Chevrolet,Suburban,SUV: Standard,5.3,8,A10,X,15.8,11.8,14.0,327,3,6,America
Chevrolet,Suburban (No Stop-Start),SUV: Standard,5.3,8,A10,X,16.0,11.9,14.1,332,3,6,America
Chevrolet,Suburban 4WD,SUV: Standard,3.0,6,A10,D,11.7,9.0,10.5,281,4,3,America
Chevrolet,Suburban 4WD,SUV: Standard,5.3,8,A10,X,15.9,12.4,14.3,336,3,6,America
Chevrolet,Suburban 4WD (No Stop-Start),SUV: Standard,5.3,8,A10,X,17.0,12.7,15.1,354,3,6,America
Chevrolet,Suburban 4WD,SUV: Standard,6.2,8,A10,Z,16.3,12.7,14.7,345,3,6,America
Chevrolet,Suburban 4WD (No Stop-Start),SUV: Standard,6.2,8,A10,Z,17.0,12.7,15.1,353,3,6,America
Chevrolet,Tahoe,SUV: Standard,3.0,6,A10,D,11.0,8.4,9.8,263,4,3,America
Chevrolet,Tahoe,SUV: Standard,5.3,8,A10,X,15.8,11.8,14.0,327,3,6,America
Chevrolet,Tahoe (No Stop-Start),SUV: Standard,5.3,8,A10,X,16.0,11.9,14.1,332,3,6,America
Chevrolet,Tahoe 4WD,SUV: Standard,3.0,6,A10,D,11.7,9.0,10.5,281,4,3,America
Chevrolet,Tahoe 4WD,SUV: Standard,5.3,8,A10,X,15.8,11.8,14.0,327,3,6,America
Chevrolet,Tahoe 4WD (No Stop-Start),SUV: Standard,5.3,8,A10,X,17.0,12.7,15.1,354,3,6,America
Chevrolet,Tahoe 4WD,SUV: Standard,6.2,8,A10,Z,16.3,12.7,14.7,345,3,6,America
Chevrolet,Tahoe 4WD (No Stop-Start),SUV: Standard,6.2,8,A10,Z,17.0,12.7,15.1,353,3,6,America
Chevrolet,Trailblazer,SUV: Small,1.2,3,AV,X,8.0,7.6,7.8,184,6,7,America
Chevrolet,Trailblazer,SUV: Small,1.3,3,AV,X,8.0,7.2,7.6,178,7,7,America
Chevrolet,Trailblazer AWD,SUV: Small,1.3,3,A9,X,8.9,7.8,8.4,197,6,7,America
Chevrolet,Traverse,SUV: Standard,3.6,6,A9,X,13.0,8.8,11.1,260,4,6,America
Chevrolet,Traverse AWD,SUV: Standard,3.6,6,A9,X,13.6,9.6,11.8,277,4,6,America
Chevrolet,Trax,SUV: Small,1.4,4,AS6,X,9.7,7.3,8.6,201,6,7,America
Chevrolet,Trax AWD,SUV: Small,1.4,4,AS6,X,10.2,7.7,9.1,214,5,7,America
Chrysler,300,Full-size,3.6,6,A8,X,12.4,7.8,10.3,242,5,5,America
Chrysler,300,Full-size,5.7,8,A8,X,14.7,9.4,12.3,289,4,3,America
Chrysler,300 AWD,Full-size,3.6,6,A8,X,12.8,8.7,11.0,258,4,5,America
Chrysler,Grand Caravan,Minivan,3.6,6,A9,X,12.4,8.4,10.6,249,5,5,America
Chrysler,Pacifica,Minivan,3.6,6,A9,X,12.4,8.4,10.6,249,5,5,America
Chrysler,Pacifica AWD,Minivan,3.6,6,A9,X,14.1,9.4,12.0,279,4,5,America
Dodge,Challenger,Mid-size,3.6,6,A8,X,12.4,7.8,10.3,242,5,5,America
Dodge,Challenger (MDS),Mid-size,5.7,8,A8,X,14.7,9.4,12.3,289,4,3,America
Dodge,Challenger,Mid-size,5.7,8,M6,Z,15.6,10.1,13.1,307,3,1,America
Dodge,Challenger (MDS),Mid-size,6.4,8,A8,Z,15.8,9.6,13.0,305,3,1,America
Dodge,Challenger,Mid-size,6.4,8,M6,Z,16.7,10.4,13.9,325,3,1,America
Dodge,Challenger AWD,Mid-size,3.6,6,A8,X,12.8,8.7,11.0,258,4,5,America
Dodge,Challenger Widebody (MDS),Mid-size,6.4,8,A8,Z,15.8,9.6,13.0,305,3,1,America
Dodge,Challenger Widebody,Mid-size,6.4,8,M6,Z,16.7,10.4,13.9,325,3,1,America
Dodge,Challenger SRT Hellcat,Mid-size,6.2,8,A8,Z,17.6,10.7,14.5,339,3,1,America
Dodge,Challenger SRT Hellcat,Mid-size,6.2,8,M6,Z,18.1,11.4,15.1,352,3,1,America
Dodge,Challenger SRT Hellcat Widebody,Mid-size,6.2,8,A8,Z,18.6,11.3,15.3,359,2,1,America
Dodge,Challenger SRT Hellcat Widebody,Mid-size,6.2,8,M6,Z,18.1,11.4,15.1,352,3,1,America
Dodge,Charger,Full-size,3.6,6,A8,X,12.4,7.8,10.3,242,5,5,America
Dodge,Charger (MDS),Full-size,5.7,8,A8,X,14.7,9.4,12.3,289,4,3,America
Dodge,Charger (MDS),Full-size,6.4,8,A8,Z,15.8,9.6,13.0,305,3,1,America
Dodge,Charger AWD,Full-size,3.6,6,A8,X,12.8,8.7,11.0,258,4,5,America
Dodge,Charger Widebody (MDS),Full-size,6.4,8,A8,Z,15.8,9.6,13.0,305,3,1,America
Dodge,Charger SRT Hellcat Widebody,Full-size,6.2,8,A8,Z,19.0,11.5,15.6,368,2,1,America
Dodge,Durango AWD,SUV: Standard,3.6,6,A8,X,12.7,9.6,11.3,265,4,7,America
Dodge,Durango AWD,SUV: Standard,5.7,8,A8,X,16.7,10.9,14.1,331,3,5,America
Dodge,Durango AWD SRT,SUV: Standard,6.4,8,A8,Z,18.3,12.2,15.6,363,2,1,America
FIAT,500X AWD,SUV: Small,1.3,4,A9,X,10.0,7.9,9.1,221,5,6,Europe
Ford,Bronco 4WD,SUV: Small,2.3,4,AS10,X,12.1,11.2,11.7,275,4,5,America
Ford,Bronco 4WD,SUV: Small,2.3,4,M7,X,12.1,11.4,11.8,277,4,5,America
Ford,Bronco 4WD,SUV: Small,2.7,6,AS10,X,12.8,11.9,12.4,291,4,6,America
Ford,Bronco Badlands 4WD,SUV: Small,2.3,4,AS10,X,13.5,14.0,13.7,323,3,5,America
Ford,Bronco Badlands 4WD,SUV: Small,2.3,4,M7,X,14.9,13.5,14.3,336,3,5,America
Ford,Bronco Badlands 4WD,SUV: Small,2.7,6,AS10,X,14.1,14.1,14.1,331,3,6,America
Ford,Bronco Black Diamond 4WD,SUV: Small,2.3,4,AS10,X,13.1,13.1,13.1,308,3,5,America
Ford,Bronco Black Diamond 4WD,SUV: Small,2.3,4,M7,X,13.8,12.4,13.2,310,3,5,America
Ford,Bronco Sasquatch 4WD,SUV: Small,2.3,4,AS10,X,13.1,13.8,13.4,314,3,5,America
Ford,Bronco Sasquatch 4WD,SUV: Small,2.3,4,M7,X,13.8,13.1,13.5,317,3,5,America
Ford,Bronco Sasquatch 4WD,SUV: Small,2.7,6,AS10,X,14.1,14.1,14.1,331,3,6,America
Ford,Bronco Sport 4WD,SUV: Small,1.5,3,A8,X,9.3,8.4,8.9,209,5,7,America
Ford,Bronco Sport 4WD,SUV: Small,2.0,4,AS8,X,11.1,9.0,10.2,240,5,5,America
Ford,EcoSport AWD,SUV: Small,2.0,4,AS6,X,10.4,8.0,9.3,219,5,5,America
Ford,Edge AWD,SUV: Small,2.0,4,A8,X,11.5,8.4,10.1,238,5,6,America
Ford,Edge AWD,SUV: Small,2.0,4,AS8,X,11.6,8.5,10.2,239,5,6,America
Ford,Edge AWD,SUV: Small,2.7,6,AS8,X,12.6,9.3,11.2,262,4,5,America
Ford,Escape,SUV: Small,1.5,3,A8,X,8.5,6.8,7.8,182,6,7,America
Ford,Escape AWD,SUV: Small,1.5,3,A8,X,9.0,7.6,8.4,198,6,7,America
Ford,Escape AWD,SUV: Small,2.0,4,A8,X,10.5,7.5,9.2,216,5,5,America
Ford,Escape Hybrid,SUV: Small,2.5,4,AV,X,5.4,6.3,5.8,136,8,7,America
Ford,Escape Hybrid AWD,SUV: Small,2.5,4,AV,X,5.5,6.4,5.9,139,8,7,America
Ford,Expedition 4X4,SUV: Standard,3.5,6,AS10,X,14.8,10.6,12.9,304,3,6,America
Ford,Expedition 4X4 (Without Stop-Start),SUV: Standard,3.5,6,AS10,X,15.4,11.2,13.5,317,3,6,America
Ford,Expedition Timberline 4X4,SUV: Standard,3.5,6,AS10,X,14.5,12.3,13.5,317,3,6,America
Ford,Expedition Timberline 4X4 (Without Stop-Start),SUV: Standard,3.5,6,AS10,X,15.2,12.3,13.9,326,3,6,America
Ford,Explorer AWD,SUV: Standard,2.3,4,A10,X,11.7,8.6,10.3,242,5,6,America
Ford,Explorer AWD (Without Stop-Start),SUV: Standard,2.3,4,A10,X,12.0,9.0,10.7,252,5,6,America
Ford,Explorer Timberline AWD,SUV: Standard,2.3,4,AS10,X,12.2,10.5,11.5,269,4,6,America
Ford,Explorer Timberline AWD (Without Stop-Start),SUV: Standard,2.3,4,AS10,X,12.5,11.0,11.8,277,4,6,America
Ford,Explorer AWD,SUV: Standard,3.0,6,A10,X,13.4,9.8,11.8,277,4,5,America
Ford,Explorer Hybrid AWD,SUV: Standard,3.3,6,AS10,X,10.1,9.0,9.6,225,5,6,America
Ford,F-150,Pickup truck: Standard,2.7,6,AS10,X,12.1,9.4,10.9,256,5,6,America
Ford,F-150 (Without Stop-Start),Pickup truck: Standard,2.7,6,AS10,X,13.5,10.1,12.0,282,4,6,America
Ford,F-150 FFV,Pickup truck: Standard,3.3,6,AS10,X,12.1,9.8,11.1,260,4,6,America
Ford,F-150 FFV,Pickup truck: Standard,3.3,6,AS10,E,16.8,12.8,15.0,249,5,6,America
Ford,F-150,Pickup truck: Standard,3.5,6,AS10,X,13.1,9.9,11.7,275,4,6,America
Ford,F-150 (Without Stop-Start),Pickup truck: Standard,3.5,6,AS10,X,13.7,10.0,12.0,281,4,6,America
Ford,F-150 FFV,Pickup truck: Standard,5.0,8,AS10,X,14.4,10.8,12.8,300,3,5,America
Ford,F-150 FFV,Pickup truck: Standard,5.0,8,AS10,E,20.8,14.3,17.9,298,4,5,America
Ford,F-150 FFV (Without Stop-Start),Pickup truck: Standard,5.0,8,AS10,X,14.7,10.6,12.9,302,3,5,America
Ford,F-150 FFV (Without Stop-Start),Pickup truck: Standard,5.0,8,AS10,E,20.1,14.1,17.4,289,4,5,America
Ford,F-150 4X4,Pickup truck: Standard,2.7,6,AS10,X,12.9,10.1,11.7,274,4,6,America
Ford,F-150 4X4 FFV,Pickup truck: Standard,3.3,6,AS10,X,12.6,10.7,11.8,277,4,6,America
Ford,F-150 4X4 FFV,Pickup truck: Standard,3.3,6,AS10,E,17.3,13.1,15.4,256,5,6,America
Ford,F-150 4X4,Pickup truck: Standard,3.5,6,AS10,X,13.5,10.3,12.1,284,4,6,America
Ford,F-150 4X4 (Without Stop-Start),Pickup truck: Standard,3.5,6,AS10,X,14.6,11.0,13.0,304,3,6,America
Ford,F-150 4X4 FFV,Pickup truck: Standard,5.0,8,AS10,X,14.7,10.8,12.9,304,3,5,America
Ford,F-150 4X4 FFV,Pickup truck: Standard,5.0,8,AS10,E,21.2,14.2,18.1,301,3,5,America
Ford,F-150 4X4 FFV (Without Stop-Start),Pickup truck: Standard,5.0,8,AS10,X,15.1,10.7,13.1,308,3,5,America
Ford,F-150 4X4 FFV (Without Stop-Start),Pickup truck: Standard,5.0,8,AS10,E,20.7,14.2,17.8,295,4,5,America
Ford,F-150 Raptor 4X4,Pickup truck: Standard,3.5,6,AS10,X,15.8,13.2,14.6,344,3,6,America
Ford,F-150 Raptor 4X4 (Without Stop-Start),Pickup truck: Standard,3.5,6,AS10,X,16.8,13.2,15.2,357,2,6,America
Ford,F-150 Raptor 37 4X4,Pickup truck: Standard,3.5,6,AS10,X,16.0,14.4,15.3,359,2,6,America
Ford,F-150 Raptor 37 4X4 (Without Stop-Start),Pickup truck: Standard,3.5,6,AS10,X,16.6,14.8,15.8,370,2,6,America
Ford,F-150 Tremor 4X4,Pickup truck: Standard,3.5,6,AS10,X,14.3,11.8,13.2,310,3,6,America
Ford,F-150 Tremor 4X4 (Without Stop-Start),Pickup truck: Standard,3.5,6,AS10,X,14.7,11.7,13.3,313,3,6,America
Ford,F-150 Hybrid,Pickup truck: Standard,3.5,6,AS10,X,9.8,9.7,9.7,228,5,6,America
Ford,F-150 Hybrid 4X4,Pickup truck: Standard,3.5,6,AS10,X,10.3,10.0,10.2,238,5,6,America
Ford,GT,Two-seater,3.5,6,AM7,Z,19.9,12.8,16.7,395,2,3,America
Ford,Maverick AWD,Pickup truck: Small,2.0,4,A8,X,10.7,8.1,9.6,226,5,5,America
Ford,Maverick Hybrid,Pickup truck: Small,2.5,4,AV,X,5.6,7.1,6.3,147,8,6,America
Ford,Mustang,Subcompact,2.3,4,A10,X,11.0,7.4,9.3,220,5,5,America
Ford,Mustang,Subcompact,2.3,4,AS10,X,11.4,7.9,9.8,231,5,5,America
Ford,Mustang (High Performance),Subcompact,2.3,4,AS10,X,11.7,8.6,10.3,242,5,5,America
Ford,Mustang,Subcompact,2.3,4,M6,X,11.5,8.2,10.0,236,5,5,America
Ford,Mustang (High Performance),Subcompact,2.3,4,M6,X,11.9,8.7,10.5,246,5,5,America
Ford,Mustang,Subcompact,5.0,8,AS10,X,15.2,9.7,12.7,298,4,3,America
Ford,Mustang,Subcompact,5.0,8,M6,X,16.1,10.1,13.4,314,3,3,America
Ford,Mustang Convertible,Subcompact,2.3,4,A10,X,11.7,8.1,10.1,237,5,5,America
Ford,Mustang Convertible,Subcompact,2.3,4,AS10,X,12.0,8.5,10.4,244,5,5,America
Ford,Mustang Convertible (High Performance),Subcompact,2.3,4,AS10,X,12.1,8.9,10.7,252,5,5,America
Ford,Mustang Convertible,Subcompact,2.3,4,M6,X,11.8,8.6,10.4,244,5,5,America
Ford,Mustang Convertible (High Performance),Subcompact,2.3,4,M6,X,12.3,9.2,10.9,256,5,5,America
Ford,Mustang Convertible,Subcompact,5.0,8,AS10,X,15.8,10.4,13.4,314,3,3,America
Ford,Mustang Mach 1,Subcompact,5.0,8,AS10,X,15.2,10.1,12.9,302,3,3,America
Ford,Mustang Mach 1,Subcompact,5.0,8,M6,X,17.1,11.2,14.5,339,3,3,America
Ford,Ranger 4WD,Pickup truck: Standard,2.3,4,AS10,X,11.9,9.7,10.9,256,5,6,America
Ford,Ranger 4WD (Without Stop-Start),Pickup truck: Standard,2.3,4,AS10,X,12.4,9.7,11.2,262,4,6,America
Ford,Ranger 4WD Tremor,Pickup truck: Standard,2.3,4,AS10,X,12.4,12.3,12.4,291,4,3,America
Ford,Shelby GT500 Mustang,Subcompact,5.2,8,AM7,Z,19.9,12.7,16.7,392,2,3,America
Ford,Transit Connect Van,Special purpose vehicle,2.0,4,AS8,X,9.8,8.9,9.4,221,5,6,America
Ford,Transit Connect Van FFV,Special purpose vehicle,2.0,4,AS8,X,9.8,8.9,9.4,221,5,5,America
Ford,Transit Connect Van FFV,Special purpose vehicle,2.0,4,AS8,E,13.3,11.9,12.7,211,5,5,America
Ford,Transit Connect Van,Special purpose vehicle,2.5,4,AS6,X,12.0,8.9,10.6,249,5,5,America
Ford,Transit Connect Wagon LWB,Special purpose vehicle,2.0,4,AS8,X,10.0,8.3,9.2,216,5,6,America
Ford,Transit Connect Wagon LWB FFV,Special purpose vehicle,2.0,4,AS8,X,10.0,8.3,9.2,216,5,5,America
